	EntryID	Headword	variety
98	d2e1531333Meyers-1905	Heinicke	Taubstummen
99	d2e1540107Meyers-1905	Helm [1]	Sturmhaube
100	d2e1555199Meyers-1905	Herodotos	Werkes
101	d2e1564075Meyers-1905	Heteromorphīt	Jamesonit
102	d2e1565428Meyers-1905	Heuergeschäft	Handels
103	d2e1565492Meyers-1905	Heuerntemaschinen	Zugtieres
104	d2e1573359Meyers-1905	Hildebrandslied	Nibelungenstrophe
105	d2e1576811Meyers-1905	Himmelfahrt	Apostel
106	d2e1630618Meyers-1905	Hufeland	Skrofelkrankheit
107	d2e1633244Meyers-1905	Huhn	rebhuhnfarbigen Italiener
108	d2e1643450Meyers-1905	Hus	Königs
109	d2e1662152Meyers-1905	Idealität	Kunstwerks
110	d2e1663798Meyers-1905	Idyll	Schönen
111	d2e1693069Meyers-1905	Inosurīe	Zuckerharnruhr
112	d2e1704990Meyers-1905	Investitūr	Gemeinde
113	d2e1709289Meyers-1905	Irland	gewöhnlichen Hafen
114	d2e1715226Meyers-1905	Island	Königs
115	d2e1728155Meyers-1905	Izedismus	dualistischen Religionssystems
116	d2e1749055Meyers-1905	Jerusalem-Stiftung, Evangelische	Kaisers
117	d2e1798527Meyers-1905	Kalktuff	Kalktuffs
118	d2e1800878Meyers-1905	Kälteerzeugungsmaschinen	Absorptionsmaschine
119	d2e1811190Meyers-1905	Kanalisierung	Wehres
120	d2e1826901Meyers-1905	Karbonāt	Diamant
121	d2e1834203Meyers-1905	Karnelōl	Chalcedons
122	d2e1837400Meyers-1905	Karriēre	Pferdes
123	d2e1838571Meyers-1905	Kartenbrief	gewöhnlichen Briefe
124	d2e1842130Meyers-1905	Kascholong	Opals
125	d2e1848143Meyers-1905	Katalanische Sprache und Literatur	Occitanischen
126	d2e1904480Meyers-1905	Kleben	Reitpferdes
127	d2e1912103Meyers-1905	Klinik	Heilmittel
128	d2e1938593Meyers-1905	Kollagēn	Kalksalze
129	d2e1941375Meyers-1905	Köln [2]	Kaisers
130	d2e1943507Meyers-1905	Kolonīen	Handelskolonien
131	d2e1947409Meyers-1905	Komisch	Komischen
132	d2e1950628Meyers-1905	Komödĭe	Norm
133	d2e1955217Meyers-1905	Kondensātor	Kondensatorplatte
134	d2e1996169Meyers-1905	Krag	Auffassung
135	d2e1998396Meyers-1905	Kran [1]	Kraus
136	d2e2010089Meyers-1905	Kreittonit	Gahnit
137	d2e2012393Meyers-1905	Kreußen	Kreußener
138	d2e2020439Meyers-1905	Kriminalanthropologie	Verbrecher
139	d2e2036986Meyers-1905	Kugelpost	Wagen
140	d2e2044923Meyers-1905	Kunstgewerbe	Handwerks
141	d2e2050148Meyers-1905	Kupferstecherkunst	Linienmanier
142	d2e2057496Meyers-1905	Kuselīt	Augitporphyrits
143	d2e2065986Meyers-1905	Labradorfels	Gabbro
144	d2e2082078Meyers-1905	Lampen	Kohlenwasserstoffe
145	d2e2104893Meyers-1905	Lasson	Mystiker
146	d2e2128755Meyers-1905	Legénde	Legenden
147	d2e2131114Meyers-1905	Lehmerze	Knottenerze
148	d2e2168854Meyers-1905	Liebhaberkünste	Holzbrandtechnik
149	d2e2196786Meyers-1905	Lohengrin	Kaisers
150	d2e2199982Meyers-1905	Lolĭum	Taumellolchs
151	d2e2212671Meyers-1905	Löwe [3]	Balladen
152	d2e2286383Meyers-1905	Mangroven	Standortes
153	d2e2320083Meyers-1905	Maschine	Zweck
154	d2e2323897Meyers-1905	Maße	Betruges
155	d2e2342317Meyers-1905	Mecklenburg	Volkes
156	d2e2342317Meyers-1905	Mecklenburg	Bauernhäuser
157	d2e2363981Meyers-1905	Menilīt	Opals
158	d2e2366010Meyers-1905	Menschenraub	Menschenraubes
159	d2e2389864Meyers-1905	Meyer [1]	Stoffes
160	d2e2421559Meyers-1905	Mitangeklagter	Mitangeklagten
161	d2e2454978Meyers-1905	Moorkohle	Braunkohle
162	d2e2469058Meyers-1905	Motorwagen	Chassisbaues
163	d2e2471881Meyers-1905	Mozart	Hofes
164	d2e2481545Meyers-1905	Mündlichkeit	Richter
165	d2e2491128Meyers-1905	Musik	Instrumente
166	d2e2508644Meyers-1905	Nadelkohle	Braunkohle
167	d2e2530723Meyers-1905	Navīt	Melaphyrs
168	d2e2535620Meyers-1905	Neft-gil	Ozokerits
169	d2e2584197Meyers-1905	Nöldeke	Mandäer
170	d2e2586900Meyers-1905	Nordamerika	Moostieres
171	d2e2590364Meyers-1905	Nordische Sprache	Färöer
172	d2e2591000Meyers-1905	Nordische Verskunst	Fornyrdislag
173	d2e2591000Meyers-1905	Nordische Verskunst	Fornyrdislag
174	d2e2591000Meyers-1905	Nordische Verskunst	Dróttkvætt
175	d2e2645616Meyers-1905	Onyx [2]	Chalcedons
176	d2e2657819Meyers-1905	Orgel	Orgeln
177	d2e2662796Meyers-1905	Orosĭus	Verfassers
178	d2e2718699Meyers-1905	Parābel	Gleichnisses
179	d2e2739036Meyers-1905	Patavinität	Bewohner
180	d2e2775351Meyers-1905	Perú	Landes
181	d2e2784486Meyers-1905	Pettenkofer	Cholera
182	d2e2784486Meyers-1905	Pettenkofer	Cholera
183	d2e2823172Meyers-1905	Picardisch	Picardie
184	d2e2866169Meyers-1905	Polnische Literatur	polnischen Romantik
185	d2e2884908Meyers-1905	Portugiesische Kolonien	Portugiesen
186	d2e2916158Meyers-1905	Prinzipāl	Prinzipals
187	d2e2958513Meyers-1905	Quartett	Streichquartetts
188	d2e2986974Meyers-1905	Rapīer	Floretts
189	d2e2992669Meyers-1905	Räuberromane	deutschen Romans
190	d2e3082314Meyers-1905	Roggen	Kulturform
191	d2e3084376Meyers-1905	Röhrenverbindungen	Flanschen
192	d2e3103223Meyers-1905	Rosīnen	Weinstockes
193	d2e3108887Meyers-1905	Rötel	Roteisensteins
194	d2e3121698Meyers-1905	Ruder	Schiffe
195	d2e3122276Meyers-1905	Rudersport	eigentlichen Ruderbootes
196	d2e3129069Meyers-1905	Runen	kürzern Alphabets
197	d2e3136983Meyers-1905	Rußkohle	Steinkohle
198	d2e3146225Meyers-1905	Sachs	Dichters
199	d2e3163786Meyers-1905	Sakramentierer	Leibes
200	d2e3186416Meyers-1905	Sandstein	Grauwacke
201	d2e3188760Meyers-1905	Sanitätshund	Kriegshunde
202	d2e3217635Meyers-1905	Schachspiel	Zweischachs
203	d2e3217635Meyers-1905	Schachspiel	indischen Würfelvierschachs
204	d2e3230652Meyers-1905	Scheck	Anweisung
205	d2e3238108Meyers-1905	Schiavōne	Parmeggianino
206	d2e3242190Meyers-1905	Schiff [1]	Schiffe
207	d2e3242190Meyers-1905	Schiff [1]	Galeeren
208	d2e3245404Meyers-1905	Schiffsvermessung	Schiffe
209	d2e3247992Meyers-1905	Schiller [3]	Herzogs
210	d2e3251818Meyers-1905	Schlacht	Infanteriekampfes
211	d2e3260586Meyers-1905	Schleswig-Holstein	Schleswig
212	d2e3271170Meyers-1905	Schmirgel [1]	Korunds
213	d2e3290237Meyers-1905	Schriftgranit	Granits
214	d2e3290710Meyers-1905	Schrippenfest	Kaisers
215	d2e3305251Meyers-1905	Schwärmattacke	Kosaken
216	d2e3321699Meyers-1905	Schwert [1]	Schwertes
217	d2e3321699Meyers-1905	Schwert [1]	türkischen Krummschwertes
218	d2e3338636Meyers-1905	Seeschlacht	Seekriegs
219	d2e3339423Meyers-1905	Seetaktik	Geschütze
220	d2e3350730Meyers-1905	Selbstverbrennung	Gräfin
221	d2e3367968Meyers-1905	Sestīne	Kanzone
222	d2e3383499Meyers-1905	Siēnaerde	Minerals
223	d2e3396650Meyers-1905	Sinus	Sanskritausdrucks
224	d2e3423737Meyers-1905	Sonāte	Dominante
225	d2e3423737Meyers-1905	Sonāte	Dominante
226	d2e3437196Meyers-1905	Spanĭen	Königs
227	d2e3451549Meyers-1905	Spessartīt	Kersantits
228	d2e3459158Meyers-1905	Spinnentiere	Weibchens
229	d2e3460788Meyers-1905	Spiritismus	Mediums
230	d2e3461169Meyers-1905	Spirĭtus [2]	Milchsäure
231	d2e3465119Meyers-1905	Sponton	Hellebarde
232	d2e3466561Meyers-1905	Sprache	Mundraums
233	d2e3471074Meyers-1905	Sprudelstein	Pisolith
234	d2e3513573Meyers-1905	Stickmaschine	Kettenstichs
235	d2e3521035Meyers-1905	Stockwerksporphyr	Greisen
236	d2e3527987Meyers-1905	Strafrechtstheorien	Sicherungsmittel
237	d2e3531662Meyers-1905	Straßenbau	Oberbaues
238	d2e3551639Meyers-1905	Suchier	Leodegarliedes
239	d2e3566087Meyers-1905	Süßmilch	Pharospiels
240	d2e3574953Meyers-1905	Syrĭen	Schiiten
241	d2e3580108Meyers-1905	Tabergīt	Pennin
242	d2e3594788Meyers-1905	Tapp-Tarock	Tarock
243	d2e3618096Meyers-1905	Tennis	Spieles
244	d2e3628998Meyers-1905	Textūr	Gewebe
245	d2e3656412Meyers-1905	Tisch	Tisches
246	d2e3677271Meyers-1905	Trabrennsport	Trabes
247	d2e3686161Meyers-1905	Travertīn	Kalktuffs
248	d2e3697691Meyers-1905	Tripel [2]	Kieselgur
249	d2e3724845Meyers-1905	Turnkunst	Vereine
250	d2e3728590Meyers-1905	Typhus	Krankheit
251	d2e3730378Meyers-1905	Überbrettl	Variétés
252	d2e3735189Meyers-1905	Uhland	Advokatur
253	d2e3756599Meyers-1905	Urkundenprozeß	Urkundenprozesses
254	d2e3777541Meyers-1905	Vendéerkrieg	Bewohner
255	d2e3787866Meyers-1905	Verfassungseid	Kammern
256	d2e3807017Meyers-1905	Viehzucht	Tieres
257	d2e3815574Meyers-1905	Viōla	Bünde
258	d2e3827987Meyers-1905	Volkslied	Volksliedes
259	d2e3827987Meyers-1905	Volkslied	Kuhländchens
260	d2e3863702Meyers-1905	Wartburgfest	Jenaer
261	d2e3865852Meyers-1905	Wasser	Bodens
262	d2e3882170Meyers-1905	Weichkorn	Maises
263	d2e3983337Meyers-1905	Ziebland	Basiliken
264	d2e3987548Meyers-1905	Zimt	Ceylonzimts
265	d2e3993263Meyers-1905	Zirkularpolarisation	Quarzplatte
266	d2e3994755Meyers-1905	Zither	Streichzither
267	d2e4015715Meyers-1905	Zwitter [2]	Greisen
