	EntryID	Headword	abbreviation
55	d2e1676763Meyers-1905	Inclusīve	incl
56	d2e1677981Meyers-1905	Indiāna	Ind
57	d2e1687414Meyers-1905	Ingenieur	C. E
58	d2e1689313Meyers-1905	In hoc signo vinces	I. H. S
59	d2e1704343Meyers-1905	Invēnit	inv
60	d2e1706636Meyers-1905	Iowa	Ia
61	d2e1751264Meyers-1905	Jewish Colonization Association	ICA
62	d2e1775806Meyers-1905	Jurisconsultus	J. Ctus
63	d2e1794562Meyers-1905	Kalifornien	Cal
64	d2e1815698Meyers-1905	Kansas [1]	Kau
65	d2e1838174Meyers-1905	Kartäuser	O. Carth
66	d2e1838724Meyers-1905	Karthāgo	Karthada
67	d2e1868308Meyers-1905	Kentucky	Ky
68	d2e1963941Meyers-1905	Konnossement	B. L
69	d2e2174383Meyers-1905	Limited	Lim., Ltd
70	d2e2185189Meyers-1905	Liter	l
71	d2e2193808Meyers-1905	Loco [1]	l. c
72	d2e2211392Meyers-1905	Louisiāna	La
73	d2e2242134Meyers-1905	Mac	Mc
74	d2e2264154Meyers-1905	Maine [3]	Me
75	d2e2293161Meyers-1905	Manu proprĭa	m. p
76	d2e2318971Meyers-1905	Maryland	Md
77	d2e2323080Meyers-1905	Massachusetts	Mass
78	d2e2360998Meyers-1905	Member of Parliament	M. P
79	d2e2383214Meyers-1905	Meterkerze	M. K
80	d2e2383293Meyers-1905	Metertonne	mt
81	d2e2393456Meyers-1905	Michigan	Mich
82	d2e2407852Meyers-1905	Milligramm	mg
83	d2e2415232Meyers-1905	Minnesota	Minn
84	d2e2420529Meyers-1905	Mississippi [2]	Miss
85	d2e2420668Meyers-1905	Missouri [2]	Mo
86	d2e2446160Meyers-1905	Monseigneur	Mgr
87	d2e2447656Meyers-1905	Montāna	Mta
88	d2e2453647Meyers-1905	Monumenta Germanĭae historĭca	SS
89	d2e2453647Meyers-1905	Monumenta Germanĭae historĭca	LL
90	d2e2467896Meyers-1905	Most Honourable	M. H
91	d2e2495857Meyers-1905	Mutātis mutándis	mut. mut
92	d2e2534212Meyers-1905	Nebráska	Neb
93	d2e2548947Meyers-1905	Neue Rechnung	N R
94	d2e2556939Meyers-1905	Nevāda	Nev
95	d2e2557972Meyers-1905	New Hampshire	N. H
96	d2e2558158Meyers-1905	New Jersey	N. J
97	d2e2559427Meyers-1905	New York [1]	N. Y
98	d2e2588544Meyers-1905	Nordcarolīna	N. C
99	d2e2588605Meyers-1905	Norddakōta	N. D
100	d2e2599193Meyers-1905	Nota bene	NB
101	d2e2623315Meyers-1905	Odd Fellows	I. O. O. F
102	d2e2650744Meyers-1905	Optĭmus Maxĭmus	O. M
103	d2e2651291Meyers-1905	Opus	Op
104	d2e2656382Meyers-1905	Orĕgon [2]	Or
105	d2e2675630Meyers-1905	Osteuropäische Zeit	O. E. Z
106	d2e2702169Meyers-1905	Pallottīner	P. S. M
107	d2e2748660Meyers-1905	Pedāl	Ped
108	d2e2770676Meyers-1905	Per procūra	p. p
109	d2e2770824Meyers-1905	Per recápito	p. r
110	d2e2833670Meyers-1905	Pinxit	pinx
111	d2e2876387Meyers-1905	Ponticello	s. pont
112	d2e2905675Meyers-1905	Premĭum	dis
113	d2e2999142Meyers-1905	Reál	rpta
114	d2e2999142Meyers-1905	Reál	rvn
115	d2e3068164Meyers-1905	Rinforzándo	rf, rfz
116	d2e3073357Meyers-1905	Ritenūto	rit
117	d2e3123255Meyers-1905	Rudolstädter Seniorenkonvent	R. S. C
118	d2e3173017Meyers-1905	Salva ratificatione	salv. rat., s. r
119	d2e3173688Meyers-1905	Salvo errōre et omissiōne	S. E. e. O
120	d2e3173754Meyers-1905	Salvo titŭlo	S. T
121	d2e3355439Meyers-1905	Senātus consultum	S. C
122	d2e3355470Meyers-1905	Senātus Populusque Romānus	S. P. Q. R
123	d2e3371903Meyers-1905	Sforzāto	sf., sfz
124	d2e3394698Meyers-1905	Sine loco et anno	s. l. e. a
125	d2e3395527Meyers-1905	Sinistra	s. m
126	d2e3413549Meyers-1905	Sociĕtas Jesu	S. J
127	d2e3476620Meyers-1905	Staccāto	stacc
128	d2e3581059Meyers-1905	Tācet	tac
129	d2e3599670Meyers-1905	Tasto solo	t. s
130	d2e3618041Meyers-1905	Tennessee [2]	Tenn
131	d2e3628628Meyers-1905	Texas	Tex
132	d2e3741607Meyers-1905	Undergraduate	Undergrad
133	d2e3762059Meyers-1905	Uti rogas	U. R
134	d2e3782555Meyers-1905	Verbi causa	v. c
135	d2e3793001Meyers-1905	Vermont	Verm
136	d2e3805878Meyers-1905	vide	vid
137	d2e3816846Meyers-1905	Virginia	Va
138	d2e3831452Meyers-1905	Volti subĭto	v. s
139	d2e3836140Meyers-1905	Vortragszeichen	f
140	d2e3865391Meyers-1905	Washington [1]	Wash
141	d2e3904868Meyers-1905	Westvirginĭa	W. Va
142	d2e3931526Meyers-1905	Wisconsin [2]	Wis
