	EntryID	Headword	pronunciation
82	d2e25612Meyers-1905	Acte	ackt
83	d2e25875Meyers-1905	Acton [1]	äckt'n
84	d2e25889Meyers-1905	Acton [2]	äckt'n
85	d2e26070Meyers-1905	Açvin	aßwin
86	d2e26214Meyers-1905	Adagio	adādscho
87	d2e26848Meyers-1905	Adamkiewicz	-kjéwitsch
88	d2e26879Meyers-1905	Adams [2]	äddäms
89	d2e27277Meyers-1905	Adanson	adangßóng
90	d2e27517Meyers-1905	Adare, Kap	ẵdǟr
91	d2e27767Meyers-1905	Adderley	ädderlĭ
92	d2e27853Meyers-1905	Addington	äddingt'n
93	d2e27928Meyers-1905	Addison	äddis'n
94	d2e28291Meyers-1905	A découvert	dekuwǟr,
95	d2e28764Meyers-1905	Adelaer	-lār
96	d2e28782Meyers-1905	Adelaide [1]	äddelēd
97	d2e29383Meyers-1905	Adémar	āde-
98	d2e29549Meyers-1905	Adenet	-nä,
99	d2e30798Meyers-1905	Adieu	adjö
100	d2e30815Meyers-1905	Adige	ádidsche
101	d2e30830Meyers-1905	Adigetto	-dschetto
102	d2e31017Meyers-1905	Adipocire	-ßīr'
103	d2e31100Meyers-1905	à discrétion	diskrēßjóng
104	d2e31262Meyers-1905	Adjoint	-schŭäng
105	d2e32959Meyers-1905	Admission temporaire	-ißjóng
106	d2e33689Meyers-1905	Adoucieren	-duß-,
107	d2e33709Meyers-1905	Adour	adūr,
108	d2e34298Meyers-1905	Adrian	ĕdriän
109	d2e35157Meyers-1905	Advertiser	äddwertaiser
110	d2e35326Meyers-1905	Adye	ēdi
111	d2e35425Meyers-1905	Aela [1]	äla
112	d2e35445Meyers-1905	Aelen [1]	ǟlen
113	d2e35462Meyers-1905	Aelfric	ǟl-
114	d2e35488Meyers-1905	Aelst	ālst
115	d2e35508Meyers-1905	Aeltre	āltre,
116	d2e35997Meyers-1905	Aërostier	aérostjē
117	d2e36102Meyers-1905	Aerschot	ārs-chot,
118	d2e36119Meyers-1905	Aerssen	ārssen
119	d2e36345Meyers-1905	Affaire	affǟr'
120	d2e36988Meyers-1905	Affiche	-īsch'
121	d2e37011Meyers-1905	Affichieren	-schie-
122	d2e37210Meyers-1905	Affre	afr'
123	d2e37289Meyers-1905	Affront	-fróng
124	d2e37724Meyers-1905	à fonds perdu	fong
125	d2e41481Meyers-1905	Agacieren	agaß-
126	d2e41623Meyers-1905	Agalloche-Blindbaum	-losch-
127	d2e41642Meyers-1905	Agallocheholz	-losch-
128	d2e41844Meyers-1905	Agaña	-ánja
129	d2e42495Meyers-1905	Agassiz	-ssi
130	d2e42601Meyers-1905	Agates blanches	agāt'
131	d2e43086Meyers-1905	Agde	agd'
132	d2e43162Meyers-1905	Aged	edsch'd
133	d2e43227Meyers-1905	Agen [2]	ǎschäng
134	d2e43539Meyers-1905	Agents provocateurs	aschāng
135	d2e43562Meyers-1905	Agenzīa Stefāni	adsch-
136	d2e43851Meyers-1905	Agevole	adschéw-,
137	d2e44416Meyers-1905	Agilità	adschi-
138	d2e44605Meyers-1905	Agincourt [2]	aschängkūr
139	d2e44693Meyers-1905	Agio	āschĭo,
140	d2e44800Meyers-1905	Agiotage	āschiotāsch'
141	d2e44874Meyers-1905	Agira	adschīra
142	d2e45015Meyers-1905	Agitāto	adschi-
143	d2e45219Meyers-1905	Agliardi	aljárdi
144	d2e45270Meyers-1905	Agnadello	anja-
145	d2e45284Meyers-1905	Agnano	anjāno
146	d2e45532Meyers-1905	Agno	anjo
147	d2e45605Meyers-1905	Agnone	anjōne
148	d2e46040Meyers-1905	Agoult	ăgū
149	d2e46098Meyers-1905	Agout	ăgū
150	d2e46526Meyers-1905	Agrégé	-sché
151	d2e46544Meyers-1905	Agréments	-māng
152	d2e47687Meyers-1905	Agŭadilla	-dillja
153	d2e47763Meyers-1905	Agueillon	gorsch
154	d2e47783Meyers-1905	Aguesseau	aggésso
155	d2e47816Meyers-1905	Aguilar [1]	agilār
156	d2e47833Meyers-1905	Aguilar [2]	ágilār
157	d2e47869Meyers-1905	Águilas	ágilas
158	d2e47883Meyers-1905	Aguilera	agilēra
159	d2e47936Meyers-1905	Aguinaldo	agináldo
160	d2e47954Meyers-1905	Agulhas	-úljas,
161	d2e51442Meyers-1905	Ahull	ä-höll
162	d2e51517Meyers-1905	Åhus	ō-hus
163	d2e51660Meyers-1905	Aicard	äkár
164	d2e51819Meyers-1905	Aide	ǟd'
165	d2e51819Meyers-1905	Aide	kāng
166	d2e51894Meyers-1905	Aides	ǟd',
167	d2e51971Meyers-1905	Aigle [1]	ǟgl'
168	d2e52029Meyers-1905	Aigoual	ägŭal
169	d2e52049Meyers-1905	Aigrette	ägrett'
170	d2e52063Meyers-1905	Aigrieren	äg-
171	d2e52077Meyers-1905	Aigueperse	ǟg'pérs'
172	d2e52092Meyers-1905	Aiguesmortes	äg-mórt'
173	d2e52122Meyers-1905	Aiguière	ägjǟr'
174	d2e52139Meyers-1905	Aiguille	ägwīj',
175	d2e52153Meyers-1905	Aiguillon [1]	ägwijóng
176	d2e52182Meyers-1905	Aiguillon [2]	ägwijóng
177	d2e52256Meyers-1905	Aikin	ēk'n
178	d2e52368Meyers-1905	Ailly	áji
179	d2e52400Meyers-1905	Ailsa Craig	ēlßä
180	d2e52492Meyers-1905	Aimard	ēmār
181	d2e52525Meyers-1905	Aimeric von Peguilhan	ēm'rick,
182	d2e52607Meyers-1905	Ain [2]	äng
183	d2e52621Meyers-1905	Ain [3]	äng
184	d2e52828Meyers-1905	Ainsworth	ēnsŭorth
185	d2e52921Meyers-1905	Air	ǟr
186	d2e53053Meyers-1905	Aird	ǟrd
187	d2e53079Meyers-1905	Airdrie	ǟrdrĭ
188	d2e53096Meyers-1905	Aire	ǟr'
189	d2e53114Meyers-1905	Airey	ǟrĭ
190	d2e53163Meyers-1905	Airy	ǟrĭ
191	d2e53280Meyers-1905	Aisance	äsāngß'
192	d2e53332Meyers-1905	Aiseau	äsō
193	d2e53366Meyers-1905	Aisne [1]	ǟn'
194	d2e53386Meyers-1905	Aisne [2]	ǟn'
195	d2e53533Meyers-1905	Aitken	ētken
196	d2e53570Meyers-1905	Aiton	ēt'n
197	d2e53641Meyers-1905	Aix	äks
198	d2e53676Meyers-1905	Aix, Ile d'	īl
199	d2e53691Meyers-1905	Aix-la-Chapelle	ǟks
200	d2e53745Meyers-1905	Ajaccio	ajattscho
201	d2e53787Meyers-1905	Ajalbert	aschalbär
202	d2e53964Meyers-1905	Ajnácskö	ajnātschkö
203	d2e54001Meyers-1905	à jour	schūr
204	d2e55978Meyers-1905	Akenside	ēk'nßaid'
205	d2e56072Meyers-1905	Åkerhielm	ōkerjelm
206	d2e56092Meyers-1905	Akers-Douglas	ēkers-döggläs
207	d2e56429Meyers-1905	Akkaparement	-māng
208	d2e56429Meyers-1905	Akkaparement	-ör
209	d2e56779Meyers-1905	Akkommodement	-máng
210	d2e56807Meyers-1905	Akkompagnement	ackongpanj'máng,
211	d2e57068Meyers-1905	Akkulieren	akkü-
212	d2e58593Meyers-1905	Akron	äckren
213	d2e61462Meyers-1905	Aela [2]	äla
214	d2e61768Meyers-1905	à la bonne heure	a
215	d2e61782Meyers-1905	Alacoque	-kóck
216	d2e61891Meyers-1905	Alagna	alannja
217	d2e61940Meyers-1905	à la grecque	greck,
218	d2e61999Meyers-1905	Alain	aläng
219	d2e62017Meyers-1905	Alais	alä
220	d2e62031Meyers-1905	Alajuela	-chuēla
221	d2e62438Meyers-1905	Ålandsinseln	ōlands-
222	d2e62604Meyers-1905	Alānus ab Insŭlis	aläng
223	d2e62825Meyers-1905	Alard	allár
224	d2e63201Meyers-1905	à la suite	-ßwīt'
225	d2e64600Meyers-1905	Albany [1]	aolbĕnĭ
226	d2e64621Meyers-1905	Albany [2]	aolbĕnĭ
227	d2e64637Meyers-1905	Albany [3]	aolbĕnĭ
228	d2e64983Meyers-1905	Albemarle [3]	ällbemarl
229	d2e65090Meyers-1905	Alberche	-bértsche
230	d2e65105Meyers-1905	Alberdingk-Thym	-taim
231	d2e65184Meyers-1905	Albères, Monts	mong-s-albǟr'
232	d2e65201Meyers-1905	Albergāti Capacelli	-tschelli
233	d2e65507Meyers-1905	Albert [1]	albǟr
234	d2e65785Meyers-1905	Albert [4]	albǟr
235	d2e66052Meyers-1905	Albert Lea City	lī
236	d2e66179Meyers-1905	Albertville	albärwil
237	d2e66340Meyers-1905	Albigeois	-schūá
238	d2e66357Meyers-1905	Albignagletscher	-binja
239	d2e66646Meyers-1905	Al bisogno	bisonnjo
240	d2e67762Meyers-1905	Albufeira	-fēīra
241	d2e68100Meyers-1905	Albuñol	-bunjól
242	d2e68115Meyers-1905	Albuquerque [1]	-kérke
243	d2e68135Meyers-1905	Albuquerque [2]	-kērke
244	d2e68220Meyers-1905	Alburquerque	-kérke
245	d2e68234Meyers-1905	Albury	aolbĕrĭ
246	d2e68319Meyers-1905	Alcacer do Sal	alkaßér
247	d2e68407Meyers-1905	Alcamo	áll-
248	d2e68421Meyers-1905	Alcañiz	-kanjīds
249	d2e68560Meyers-1905	Alcāzar de San Juan	chhuān
250	d2e68659Meyers-1905	Alcester [1]	aoster
251	d2e68676Meyers-1905	Alcester [2]	aoster
252	d2e68949Meyers-1905	Alclyde	-klaid'
253	d2e68967Meyers-1905	Alcobaça	-bāßa
254	d2e68981Meyers-1905	Alcock	aol-
255	d2e69232Meyers-1905	Alcsúth	ālltschūt
256	d2e69393Meyers-1905	Aldeburgh	aoldbörro
257	d2e69729Meyers-1905	Alderman	aoldermän;
258	d2e69762Meyers-1905	Alderney	aoldernĭ,
259	d2e69794Meyers-1905	Aldershot	aolderschŏt
260	d2e70006Meyers-1905	Aldrich	aoldritsch
261	d2e70065Meyers-1905	Aldridge	airä
262	d2e70194Meyers-1905	Ale	ēl
263	d2e70698Meyers-1905	Alembert	alangbǟr
264	d2e70789Meyers-1905	Alemtejo	alengtēschu,
265	d2e70820Meyers-1905	Aelen [2]	ǟlen
266	d2e70873Meyers-1905	Alençon	alangßóng
267	d2e71219Meyers-1905	à l'estompe	-stóngp'
268	d2e73376Meyers-1905	Alexinac	-natz
269	d2e73532Meyers-1905	Alexis [4]	alekßiß
270	d2e74283Meyers-1905	Alfortville	-fōrwil'
271	d2e74428Meyers-1905	Alfreton	ällfrētēn
272	d2e74761Meyers-1905	Algeciras	alchedsīras
273	d2e74778Meyers-1905	Algemesí	alche-
274	d2e75302Meyers-1905	Alger	-schē
275	d2e76027Meyers-1905	Algiers	ăldschīrs
276	d2e76366Meyers-1905	Alguacil	-gwaßīl;
277	d2e76407Meyers-1905	Algyógy-Alfalu	áldjōdj-,
278	d2e76785Meyers-1905	Alibert	-bǟr
279	d2e77084Meyers-1905	Alignement	alinj'māng,
280	d2e77319Meyers-1905	Alingsås	-ōs
281	d2e77540Meyers-1905	Aliscans	aliskāng,
282	d2e77566Meyers-1905	Alise Sainte-Reine	alīs'
283	d2e77660Meyers-1905	Alison	ällis'n
284	d2e77985Meyers-1905	Aljubarrōta	alschu-
285	d2e78441Meyers-1905	Alkan	-āng
286	d2e80037Meyers-1905	Allan-Line	-lain
287	d2e80151Meyers-1905	Allard	-ár
288	d2e80352Meyers-1905	Alleghany	älligēni
289	d2e80370Meyers-1905	Alleghanygebirge	älligēni,
290	d2e80409Meyers-1905	Allegheny	älligēni
291	d2e80426Meyers-1905	Allegiance	ällīdschens
292	d2e80711Meyers-1905	Allemagne	all'mannj'
293	d2e80742Meyers-1905	Allemande	all'māngd'
294	d2e80817Meyers-1905	Allen [1]	ällen
295	d2e80944Meyers-1905	Allendale	ällendēl
296	d2e81029Meyers-1905	Allentown	-taun
297	d2e81353Meyers-1905	Allevard	allwár
298	d2e81603Meyers-1905	Alliance [2]	-āngß
299	d2e81620Meyers-1905	Alliance [3]	ällaiens
300	d2e81696Meyers-1905	Alliánz	-āngß'
301	d2e81802Meyers-1905	Allibone	ällibōn
302	d2e81822Meyers-1905	Allier [1]	alljē,
303	d2e81839Meyers-1905	Allier [2]	alljē
304	d2e82220Meyers-1905	Allingham	älling-häm
305	d2e82883Meyers-1905	Allonge	alóngsch'
306	d2e82934Meyers-1905	Allons!	-lóng
307	d2e83245Meyers-1905	Allou	allū
308	d2e83268Meyers-1905	Allowance	ällaūens,
309	d2e83285Meyers-1905	Alloway	-ūĕ
310	d2e83334Meyers-1905	All right	aol
311	d2e83348Meyers-1905	Allspice	aolspaiß
312	d2e83381Meyers-1905	Allston	aolst'n
313	d2e83418Meyers-1905	Allure	-lǖr'
314	d2e83743Meyers-1905	Almacks	ällmäcks
315	d2e84024Meyers-1905	Almás	állmāsch
316	d2e84053Meyers-1905	Almási	-māschi
317	d2e84080Meyers-1905	Almásy	-māschi
318	d2e84191Meyers-1905	Almeida	-mēīda
319	d2e84338Meyers-1905	Almeirim	-mēīring
320	d2e84384Meyers-1905	Almendralejo	-ĕcho
321	d2e84577Meyers-1905	Almonacid	-dsīd
322	d2e84592Meyers-1905	Almondbury	aomenberrĭ
323	d2e84733Meyers-1905	Almos	ālmosch
324	d2e84926Meyers-1905	Almuñecar	almunjĕkar,
325	d2e84977Meyers-1905	Alnmouth	ännmöth
326	d2e85044Meyers-1905	Alnwick	ännick
327	d2e85507Meyers-1905	Aloi	alūá
328	d2e85539Meyers-1905	Aloja de chañar	alōcha
329	d2e87128Meyers-1905	Alpena	ällpinǟ
330	d2e88294Meyers-1905	Alpes	alp'
331	d2e88441Meyers-1905	Alpharts Tod	alp-hart
332	d2e88554Meyers-1905	Alphonse	alfongß'
333	d2e88586Meyers-1905	Al piacere	-tschēre
334	d2e88626Meyers-1905	Alpines	-pïn'
335	d2e88819Meyers-1905	Alpujarras	-chárras
336	d2e88866Meyers-1905	Alqueire	alkēre
337	d2e88886Meyers-1905	Alquifoux	-kifū;
338	d2e89252Meyers-1905	Alsó	állschō
339	d2e89360Meyers-1905	Alston	aolst'n
340	d2e89986Meyers-1905	Altār de los Collanes, el	koljānes,
341	d2e91589Meyers-1905	Alternance	-nāngß'
342	d2e92342Meyers-1905	Altesse	-täß'
343	d2e93506Meyers-1905	Altodouro	-dōiru
344	d2e93552Meyers-1905	Alton [1]	aolt'n
345	d2e93663Meyers-1905	Altoona	ältūnä
346	d2e93857Meyers-1905	Altrincham	aoltringäm
347	d2e94653Meyers-1905	Alum-cake	ëlöm-kēk
348	d2e95571Meyers-1905	Alvares	álwarēs
349	d2e95601Meyers-1905	Alvarez	álwarēs
350	d2e95850Meyers-1905	Alverstone	ällwerstön
351	d2e95893Meyers-1905	Alvin	-wäng
352	d2e95949Meyers-1905	Alvinczy	-wintzi
353	d2e96188Meyers-1905	Alzette	-sett',
354	d2e96675Meyers-1905	Åmål	ōmōl
355	d2e97219Meyers-1905	Amanvillers	amangwilǟr
356	d2e97655Meyers-1905	Amarillas	-illjas
357	d2e97932Meyers-1905	Amassieren	-ass'māng
358	d2e97995Meyers-1905	Amateur	-tör
359	d2e98248Meyers-1905	Amazonas	-sōnas
360	d2e98652Meyers-1905	Ambaree fibre	ämbarī
361	d2e98687Meyers-1905	Ambassade	angb-
362	d2e98687Meyers-1905	Ambassade	angbassadör
363	d2e98856Meyers-1905	Amberes	amwēres
364	d2e98989Meyers-1905	Ambert	angbǟr
365	d2e99075Meyers-1905	Ambigu	angbigǖ
366	d2e99094Meyers-1905	Ambigu-Comique	angbigǖ-komīk',
367	d2e99125Meyers-1905	Ambin, Mont	mong-t-angbäng
368	d2e99223Meyers-1905	Amble	ämbl
369	d2e99237Meyers-1905	Ambleside	ämbl'ßaid'
370	d2e99258Meyers-1905	Ambleteuse	angbl'tös'
371	d2e99272Meyers-1905	Amblève	angblǟw'
372	d2e99513Meyers-1905	Amboise [1]	angbŭās'
373	d2e99533Meyers-1905	Amboise [2]	angbŭās'
374	d2e101300Meyers-1905	Amélie-les-Bains	-lī-lä-bäng
375	d2e101401Meyers-1905	Amende	amāngd'
376	d2e101424Meyers-1905	Amendement	amangd'māng,
377	d2e103263Meyers-1905	Amesbury	ēmsbörĭ
378	d2e103432Meyers-1905	Ameublement	amöbbl'māng
379	d2e103518Meyers-1905	Amherst [1]	ämmörst
380	d2e103535Meyers-1905	Amherst [2]	ämmörst
381	d2e103635Meyers-1905	Amici	amītschi
382	d2e103947Meyers-1905	Amidogène	-schǟn´
383	d2e104150Meyers-1905	Amiel	amiéll
384	d2e104231Meyers-1905	Amiens	amiäng
385	d2e104601Meyers-1905	Amlwch	ämmluk
386	d2e107023Meyers-1905	à mon aise	a
387	d2e107097Meyers-1905	Amorces	amórß'
388	d2e107792Meyers-1905	Ampère	angpǟr'
389	d2e109344Meyers-1905	Amplepuis	angpl'püī
390	d2e109462Meyers-1905	Ampthill [1]	ämmt-hill
391	d2e109480Meyers-1905	Ampthill [2]	ämmt-hill
392	d2e111416Meyers-1905	Amüsant	-māng
393	d2e112080Meyers-1905	Amyot	amiō
394	d2e112142Meyers-1905	Amyraut	amirō,
395	d2e113058Meyers-1905	Anagni	-ánji
396	d2e117204Meyers-1905	Ancelot	angß'lō
397	d2e117255Meyers-1905	Ancenis	angß'nī
398	d2e117311Meyers-1905	Anch' io sono pittōre!	ank
399	d2e117374Meyers-1905	Anchor-Line	ängker-laīn
400	d2e117577Meyers-1905	Ancien régime	angßjäng
401	d2e117613Meyers-1905	Ancillon	angßijóng
402	d2e117829Meyers-1905	Ancre	angkr'
403	d2e117890Meyers-1905	Ancy-le-Franc	angßi-lö-frāng
404	d2e117939Meyers-1905	Anczyc	ántschitz
405	d2e118363Meyers-1905	Andelys	lǟ-sangd'lī
406	d2e118404Meyers-1905	Andenne	angdän'
407	d2e118791Meyers-1905	Anderson [1]	änderß'n
408	d2e118825Meyers-1905	Anderson [3]	änderß'n
409	d2e119293Meyers-1905	Andlau [3]	angdlō
410	d2e119473Meyers-1905	Andouilles	āngdūj',
411	d2e119490Meyers-1905	Andover	änn-
412	d2e119570Meyers-1905	Andral	angdrall
413	d2e119606Meyers-1905	Andrássy	andrāschi
414	d2e120233Meyers-1905	Andréossy	angd-
415	d2e120417Meyers-1905	Andrienne	angd-
416	d2e120431Meyers-1905	Andrieux	angdriö
417	d2e121199Meyers-1905	Androuet	angdruä
418	d2e121298Meyers-1905	Andújar	-dūchar
419	d2e121312Meyers-1905	Anduze	angdǖs
420	d2e122164Meyers-1905	Anethan	an'tāng
421	d2e122249Meyers-1905	Anethou	-tū
422	d2e124171Meyers-1905	Angera	andschēra
423	d2e124290Meyers-1905	Ångerman-Elf	ónger-
424	d2e124304Meyers-1905	Ångermanland	ónger-
425	d2e124391Meyers-1905	Angers	angschē
426	d2e124525Meyers-1905	Angevin	angsch'wäng
427	d2e124979Meyers-1905	Anglaise	angglǟs'
428	d2e125031Meyers-1905	Anglesey [1]	änggl'ßĭ,
429	d2e125058Meyers-1905	Anglesey [2]	änggl'ßĭ
430	d2e125095Meyers-1905	Angleterre	angglötǟr'
431	d2e125898Meyers-1905	Angoulême [1]	anggulǟm'
432	d2e125926Meyers-1905	Angoulême [2]	anggulǟm'
433	d2e125986Meyers-1905	Angoumois	anggumūá
434	d2e126020Meyers-1905	Angra Pequena	pekēna
435	d2e126360Meyers-1905	Anguilla [2]	ßnēk
436	d2e126432Meyers-1905	Anguisciola	anngwischola
437	d2e126619Meyers-1905	Angyal	ándjal
438	d2e127335Meyers-1905	Anicet-Bourgeois	-ßä-burschŭá
439	d2e127426Meyers-1905	Aniche	anīsch'
440	d2e128283Meyers-1905	Animuccia	-mútscha
441	d2e128832Meyers-1905	Anjou	angschu
442	d2e131231Meyers-1905	Annan	ännen
443	d2e131268Meyers-1905	Annapolis	änäppŏlĭs
444	d2e131288Meyers-1905	Ann Arbor	ännārb'r
445	d2e131375Meyers-1905	Annecy	ann'ßi
446	d2e131609Meyers-1905	Annesleybai	ännslĭ,
447	d2e131675Meyers-1905	Annfield Plain	ännfīld
448	d2e131831Meyers-1905	Anniviers	-wjē,
449	d2e132002Meyers-1905	Annonay	-nä
450	d2e132016Meyers-1905	Annonce	-nóngß'
451	d2e133604Meyers-1905	Anquetil	angk'til
452	d2e133895Meyers-1905	Ans	angs
453	d2e134968Meyers-1905	Anse	āngß'
454	d2e135393Meyers-1905	Anson	ännß'n
455	d2e135881Meyers-1905	Anstey	ännstì
456	d2e136032Meyers-1905	Anstruther	änstrūther
457	d2e136920Meyers-1905	Antequera	-kēra,
458	d2e137309Meyers-1905	Antheunis	-tönis
459	d2e139213Meyers-1905	Antibes	angtīb'
460	d2e139256Meyers-1905	Antichambre	angtischāngbr'
461	d2e139394Meyers-1905	Anti-Cornlaw-League	ännti-kórnlao-līg,
462	d2e139543Meyers-1905	Antienne	angtjän'
463	d2e139678Meyers-1905	Antiglia	antilja
464	d2e139695Meyers-1905	Antigua [1]	angtinja
465	d2e139913Meyers-1905	Antikaglien	-kalljen
466	d2e142169Meyers-1905	Antioche, Pertuis d'	pertüī
467	d2e143230Meyers-1905	Antireuters	ännti-
468	d2e144109Meyers-1905	Antoine	angtūann'
469	d2e144153Meyers-1905	Antomarchi	-márki
470	d2e144369Meyers-1905	Antonides van der Goes	gūs
471	d2e144979Meyers-1905	Antraigues [1]	angtrǟg'
472	d2e144996Meyers-1905	Antraigues [2]	angtrǟg'
473	d2e145594Meyers-1905	Anvers	angwärs
474	d2e145608Meyers-1905	Anville	angwil'
475	d2e146304Meyers-1905	Anzin	angsäng
476	d2e147174Meyers-1905	Apanage	-āsch',
477	d2e147264Meyers-1905	Aparagement	-āsch'māng
478	d2e147403Meyers-1905	Apatovac	-watz
479	d2e147763Meyers-1905	Aperçu	-ßǖ
480	d2e149305Meyers-1905	a piacere	-tschēre,
481	d2e149903Meyers-1905	Aplomb	aplóng,
482	d2e153044Meyers-1905	Appalachen [1]	äppälätschjens,
483	d2e153190Meyers-1905	Appalachicola	-latschikōla
484	d2e153225Meyers-1905	Appareille	-äj
485	d2e153312Meyers-1905	Appartement	-t'māng
486	d2e153351Meyers-1905	Appel comme d'abus	apell
487	d2e153692Meyers-1905	Appert	appǟr
488	d2e153997Meyers-1905	Appleby	äppelbī
489	d2e154028Meyers-1905	Appleton [1]	äpplt'n
490	d2e154042Meyers-1905	Appleton [2]	äpplt'n
491	d2e154210Meyers-1905	Appoggiatura	-dschatūra
492	d2e154227Meyers-1905	Appoint	-pŭäng;
493	d2e154316Meyers-1905	Apponyi	-nji
494	d2e154838Meyers-1905	Approchen	appróschen
495	d2e154935Meyers-1905	Appui	-püī
496	d2e155045Meyers-1905	Apricena	-tschēna
497	d2e155402Meyers-1905	à propos	-pō
498	d2e155546Meyers-1905	Apt	apt
499	d2e155836Meyers-1905	Apulĭen	pūlje
500	d2e156892Meyers-1905	à quatre	kattr;
501	d2e157085Meyers-1905	Aquĭla degli Abruzzi [1]	dellji
502	d2e157100Meyers-1905	Aquĭla degli Abruzzi [2]	dellji
503	d2e157670Meyers-1905	Aquitanien	-ìäng,
504	d2e160658Meyers-1905	Aram	ǟrĕm
505	d2e160778Meyers-1905	Arancini	-tschīni
506	d2e160883Meyers-1905	Aranjuez	-chués
507	d2e160950Meyers-1905	Arany	áranj
508	d2e160993Meyers-1905	Aranyos	āranjosch,
