	EntryID	Headword	Examples
209	d2e836866Meyers-1905	Dorische Tonart	h
210	d2e865601Meyers-1905	Duftstoffe	Chroolepus hercynicus
211	d2e882534Meyers-1905	Eau	E. de menthe poivrée
212	d2e882534Meyers-1905	Eau	E. de lavande
213	d2e908201Meyers-1905	Einhufer	Phenacodus
214	d2e938810Meyers-1905	Elektrisches Licht	Peschel
215	d2e938810Meyers-1905	Elektrisches Licht	Peschel
216	d2e945970Meyers-1905	Elfenbeinschnitzerei	Andree
217	d2e945970Meyers-1905	Elfenbeinschnitzerei	Heges
218	d2e945970Meyers-1905	Elfenbeinschnitzerei	Wyatt
219	d2e963897Meyers-1905	England	Erica
220	d2e968085Meyers-1905	Englische Sprache	estriver = strive, strove, striven
221	d2e968085Meyers-1905	Englische Sprache	mountain
222	d2e968085Meyers-1905	Englische Sprache	freedom
223	d2e969282Meyers-1905	Enharmōnisch	f
224	d2e981367Meyers-1905	Epiphyten	Tillandsia bulbosa
225	d2e984596Meyers-1905	Eragróstis	E. cylindriflora
226	d2e991043Meyers-1905	Erdkunde	Gerlands
227	d2e991043Meyers-1905	Erdkunde	Gerlands
228	d2e1001611Meyers-1905	Eroïco	Sinfonia eroica
229	d2e1011256Meyers-1905	Esperanto	la patro
230	d2e1017241Meyers-1905	Ethik	Mill
231	d2e1017241Meyers-1905	Ethik	Mill
232	d2e1019631Meyers-1905	Eucalyptus	Gummiholz
233	d2e1019631Meyers-1905	Eucalyptus	Gummiholz
234	d2e1021520Meyers-1905	Eulen [1]	Waldkauz
235	d2e1021520Meyers-1905	Eulen [1]	Waldkauz
236	d2e1041551Meyers-1905	Fabrikgesetzgebung	Böhmert
237	d2e1041551Meyers-1905	Fabrikgesetzgebung	Böhmert
238	d2e1042217Meyers-1905	Fabrik- und Handelszeichen	made in Germany
239	d2e1044703Meyers-1905	Fadenschnecken	Aeolis papillosa
240	d2e1051356Meyers-1905	Fall [1]	Masse
241	d2e1051356Meyers-1905	Fall [1]	Masse
242	d2e1054242Meyers-1905	Falx	F. muralis
243	d2e1056787Meyers-1905	Faraday	Jones
244	d2e1056787Meyers-1905	Faraday	Jones
245	d2e1059096Meyers-1905	Farbpflanzen	Rote
246	d2e1059096Meyers-1905	Farbpflanzen	Rote
247	d2e1059304Meyers-1905	Farbstoffe	Erd
248	d2e1059304Meyers-1905	Farbstoffe	natürlichen Mineralfarben
249	d2e1059304Meyers-1905	Farbstoffe	Erd
250	d2e1059304Meyers-1905	Farbstoffe	natürlichen Mineralfarben
251	d2e1062789Meyers-1905	Fasch [2]	Blumner
252	d2e1062789Meyers-1905	Fasch [2]	Blumner
253	d2e1069118Meyers-1905	Faziāl	arteria facialis
254	d2e1070764Meyers-1905	Feder [1]	F'
255	d2e1103992Meyers-1905	Fichtenharz	Weißpech
256	d2e1103992Meyers-1905	Fichtenharz	Burgunderpech, gekochter Terpentin
257	d2e1103992Meyers-1905	Fichtenharz	Weißpech
258	d2e1103992Meyers-1905	Fichtenharz	Burgunderpech, gekochter Terpentin
259	d2e1104165Meyers-1905	Fichtennadelöl	Fichtennadelextrakt
260	d2e1104165Meyers-1905	Fichtennadelöl	Fichtennadelextrakt
261	d2e1112807Meyers-1905	Finnen	Juhaupoika
262	d2e1113035Meyers-1905	Finnische Sprache und Literatur	Súomi
263	d2e1115715Meyers-1905	Firmieren	per procura
264	d2e1115715Meyers-1905	Firmieren	per
265	d2e1117016Meyers-1905	Fische [2]	Rhombus
266	d2e1130181Meyers-1905	Flechten [1]	Usnea barbata
267	d2e1137129Meyers-1905	Flora [1]	F. germanica, F. orientalis, F. berolinensis
268	d2e1154546Meyers-1905	Fornix	F. Fabii
269	d2e1166763Meyers-1905	Frankfurt am Main	Kaiserplatz
270	d2e1168190Meyers-1905	Frankreich	praktischen Ausbildung
271	d2e1168190Meyers-1905	Frankreich	Fleischkonserven
272	d2e1168190Meyers-1905	Frankreich	Fleischkonserven
273	d2e1177914Meyers-1905	Französische Literatur in Belgien	Übersetzungen
274	d2e1177914Meyers-1905	Französische Literatur in Belgien	Übersetzungen
275	d2e1184473Meyers-1905	Freidenker	Deutsche Freidenkerbund
276	d2e1184473Meyers-1905	Freidenker	Deutsche Freidenkerbund
277	d2e1185550Meyers-1905	Freihafen	Österreich-Ungarn
278	d2e1185550Meyers-1905	Freihafen	Rumänien
279	d2e1185550Meyers-1905	Freihafen	Österreich-Ungarn
280	d2e1185550Meyers-1905	Freihafen	Rumänien
281	d2e1186649Meyers-1905	Freimaurerei	belgischen
282	d2e1186649Meyers-1905	Freimaurerei	belgischen
283	d2e1189446Meyers-1905	Frenŭlum	F. linguae
284	d2e1191858Meyers-1905	Friede	Friedensfreunden
285	d2e1191858Meyers-1905	Friede	Friedenskongressen
286	d2e1191858Meyers-1905	Friede	Friedensfreunden
287	d2e1191858Meyers-1905	Friede	Friedenskongressen
288	d2e1193450Meyers-1905	Friedrich [1]	Herzog
289	d2e1193450Meyers-1905	Friedrich [1]	Liegnitz, Brieg
290	d2e1193450Meyers-1905	Friedrich [1]	Wohlau
291	d2e1193450Meyers-1905	Friedrich [1]	Elisabeth
292	d2e1193450Meyers-1905	Friedrich [1]	Bayern
293	d2e1197068Meyers-1905	Friesische Sprache und Literatur	tserke
294	d2e1200376Meyers-1905	Frontālis	arteria f
295	d2e1202672Meyers-1905	Fruchtbarkeit	Aegilops
296	d2e1208581Meyers-1905	Fulbe	Mischlich
297	d2e1208581Meyers-1905	Fulbe	Lippert
298	d2e1208581Meyers-1905	Fulbe	Mischlich
299	d2e1208581Meyers-1905	Fulbe	Lippert
300	d2e1224520Meyers-1905	Galāpagos	Passiflora, Ipomoea
301	d2e1248539Meyers-1905	Gassendi	Gassendisten
302	d2e1248539Meyers-1905	Gassendi	Gassendisten
303	d2e1258150Meyers-1905	Gedächtnis	guten
304	d2e1258150Meyers-1905	Gedächtnis	guten
305	d2e1273388Meyers-1905	Gelbfieber	Europas
306	d2e1286929Meyers-1905	Gentleman	gentlemen-at-arms
307	d2e1288255Meyers-1905	Geographische Gesellschaften	Dänemark
308	d2e1288255Meyers-1905	Geographische Gesellschaften	Schweden
309	d2e1288255Meyers-1905	Geographische Gesellschaften	Norwegen
310	d2e1288255Meyers-1905	Geographische Gesellschaften	Rumänien
311	d2e1288255Meyers-1905	Geographische Gesellschaften	Spanien
312	d2e1288255Meyers-1905	Geographische Gesellschaften	Portugal
313	d2e1288255Meyers-1905	Geographische Gesellschaften	Australien
314	d2e1288255Meyers-1905	Geographische Gesellschaften	Australien
315	d2e1288454Meyers-1905	Geographische Kongresse	Geographentage
316	d2e1288454Meyers-1905	Geographische Kongresse	Geographentage
317	d2e1302005Meyers-1905	Gesang	Gesangsschulen
318	d2e1302005Meyers-1905	Gesang	Gesangsschulen
319	d2e1305573Meyers-1905	Geschütz	gleichzeitig für Feldgebrauch und zu Belagerungszwecken
320	d2e1305573Meyers-1905	Geschütz	gleichzeitig für Feldgebrauch und zu Belagerungszwecken
321	d2e1331167Meyers-1905	Gilde	Groß
322	d2e1331167Meyers-1905	Gilde	Groß
323	d2e1333889Meyers-1905	Gips	Alabaster
324	d2e1338943Meyers-1905	Glandŭla	G. inguinalis
325	d2e1340016Meyers-1905	Glas	Läuterung
326	d2e1342185Meyers-1905	Glaskunstindustrie	Frankreich
327	d2e1342185Meyers-1905	Glaskunstindustrie	Frankreich
328	d2e1363998Meyers-1905	Goldlegierungen	Federgold
329	d2e1363998Meyers-1905	Goldlegierungen	Federgold
330	d2e1365437Meyers-1905	Goldschmiedekunst	Seidel
331	d2e1365437Meyers-1905	Goldschmiedekunst	Seidel
332	d2e1366214Meyers-1905	Gold- und Silbergespinste und -Gewebe	Silbergewebe
333	d2e1366214Meyers-1905	Gold- und Silbergespinste und -Gewebe	Silbergewebe
334	d2e1376542Meyers-1905	Gotische Sprache	ains
335	d2e1376542Meyers-1905	Gotische Sprache	airþa
336	d2e1381507Meyers-1905	Gräber, vorgeschichtliche	Steingräber
337	d2e1381507Meyers-1905	Gräber, vorgeschichtliche	Steingräber
338	d2e1390743Meyers-1905	Graphīt	dient
339	d2e1390743Meyers-1905	Graphīt	dient
340	d2e1391381Meyers-1905	Gräser	Agropyrum
341	d2e1391381Meyers-1905	Gräser	Cynodon
342	d2e1391381Meyers-1905	Gräser	Phleum
343	d2e1391381Meyers-1905	Gräser	Agrostis
344	d2e1391381Meyers-1905	Gräser	Stipa inebrians
345	d2e1404348Meyers-1905	Griechenland [2]	Nationalcharakter
346	d2e1407584Meyers-1905	Griesinger	Jakob
347	d2e1407584Meyers-1905	Griesinger	Jacobus Allemannus
348	d2e1407584Meyers-1905	Griesinger	Jakob von Ulm
349	d2e1411220Meyers-1905	Grönland	Drygalski
350	d2e1411220Meyers-1905	Grönland	Drygalski
351	d2e1411811Meyers-1905	Gros [3]	G. de Berlin, G. de Naples, G. de Tours, G. d'Orléans, G. grain
352	d2e1446828Meyers-1905	Gutta [1]	G. rosacea
353	d2e1452237Meyers-1905	Haare der Pflanzen	Cajophora
354	d2e1453312Meyers-1905	Haarsterne [2]	Rhizocrinus lofotensis
355	d2e1469749Meyers-1905	Halle [1]	Porticus Concordiae, Apollinis, Quirini, Herculis, theatri, circi
356	d2e1469749Meyers-1905	Halle [1]	Porticus Pompeja, Livia, Octavia
357	d2e1469749Meyers-1905	Halle [1]	Porticus Argonautarum
358	d2e1469749Meyers-1905	Halle [1]	Porticus argentaria
359	d2e1474365Meyers-1905	Hämatoparasiten	Filaria sanguinis hominis
360	d2e1482798Meyers-1905	Handelskrisen	Börsenkrisis
361	d2e1482798Meyers-1905	Handelskrisen	Börsenkrisis
362	d2e1487910Meyers-1905	Hanf [1]	Kernwerg
363	d2e1487910Meyers-1905	Hanf [1]	Kernwerg
364	d2e1494099Meyers-1905	Harfe [2]	c cis d dis e
365	d2e1494099Meyers-1905	Harfe [2]	h d f as
366	d2e1495777Meyers-1905	Harmonĭum	amerikanische Orgeln
367	d2e1495777Meyers-1905	Harmonĭum	amerikanische Orgeln
368	d2e1503879Meyers-1905	Haselstrauch	Dicknüsse
369	d2e1503879Meyers-1905	Haselstrauch	Dicknüsse
370	d2e1512367Meyers-1905	Haus Seefahrt	Kohl
371	d2e1512367Meyers-1905	Haus Seefahrt	Kohl
372	d2e1523996Meyers-1905	Hefe	Oidium lactis
373	d2e1528588Meyers-1905	Heilige Pflanzen	Ordal
374	d2e1528588Meyers-1905	Heilige Pflanzen	Gottesgerichtsbäume
375	d2e1528588Meyers-1905	Heilige Pflanzen	Ordal
376	d2e1528588Meyers-1905	Heilige Pflanzen	Gottesgerichtsbäume
377	d2e1536568Meyers-1905	Helēne [2]	Suchier
378	d2e1536568Meyers-1905	Helēne [2]	Suchier
379	d2e1546424Meyers-1905	Hepar	H. sulfuris alcalinum
380	d2e1563905Meyers-1905	Heteroklĭton	vas, vasis
381	d2e1564376Meyers-1905	Heterözīe	Puccinia graminis
382	d2e1571118Meyers-1905	Hiëroglyphen	hrw
383	d2e1582639Meyers-1905	Hirsch [2]	Moritz, Baron von
384	d2e1585585Meyers-1905	Historische Vereine	Rheinlanden
385	d2e1585585Meyers-1905	Historische Vereine	Brandenburg
386	d2e1585585Meyers-1905	Historische Vereine	Pommern
387	d2e1585585Meyers-1905	Historische Vereine	Brandenburg
388	d2e1585585Meyers-1905	Historische Vereine	Pommern
389	d2e1599681Meyers-1905	Höhlenflora	Micrococcus (Leucocystis) cellaris
390	d2e1599681Meyers-1905	Höhlenflora	Frustulia saxonica
391	d2e1599681Meyers-1905	Höhlenflora	Adiantum capillus Veneris, Scolopendrium vulgare, Hymenophyllum tunbridgense
392	d2e1599681Meyers-1905	Höhlenflora	Delesscria hypoglossum, Bornetia secundiflora
393	d2e1616234Meyers-1905	Hopfen [1]	Hopfenkrankheiten
394	d2e1624744Meyers-1905	Hŏtel	H. des Invalides
395	d2e1633244Meyers-1905	Huhn	Krüper, Kriecher
396	d2e1633244Meyers-1905	Huhn	Dachshühner
397	d2e1633244Meyers-1905	Huhn	Krüper, Kriecher
398	d2e1633244Meyers-1905	Huhn	Dachshühner
399	d2e1634412Meyers-1905	Hühnervögel	Laufhühner
400	d2e1634412Meyers-1905	Hühnervögel	Großfußhühner
401	d2e1634412Meyers-1905	Hühnervögel	Steißhühner
402	d2e1634412Meyers-1905	Hühnervögel	Steißhühner
403	d2e1658042Meyers-1905	I	I.C.D.
404	d2e1666221Meyers-1905	Il	Il Diritto
405	d2e1674961Meyers-1905	Improvisation	Filelfo
406	d2e1674961Meyers-1905	Improvisation	Sasso, Cristoforo
407	d2e1674961Meyers-1905	Improvisation	Carosi
408	d2e1674961Meyers-1905	Improvisation	Brandano
409	d2e1674961Meyers-1905	Improvisation	Filelfo
410	d2e1674961Meyers-1905	Improvisation	Sasso, Cristoforo
411	d2e1674961Meyers-1905	Improvisation	Carosi
412	d2e1674961Meyers-1905	Improvisation	Brandano
413	d2e1676296Meyers-1905	In casu	in casum contraventionis
414	d2e1680946Meyers-1905	Indischer Ozean	Seehäfen
415	d2e1680946Meyers-1905	Indischer Ozean	Seehäfen
416	d2e1693416Meyers-1905	Inquisition	Einmauern
417	d2e1693416Meyers-1905	Inquisition	Einmauern
418	d2e1696441Meyers-1905	Inspektion [1]	inspectio legalis
419	d2e1698163Meyers-1905	Intarsĭa	Bode
420	d2e1698163Meyers-1905	Intarsĭa	Bode
421	d2e1700381Meyers-1905	Interlaken	Beatenberg
422	d2e1700381Meyers-1905	Interlaken	Beatenberg
423	d2e1701812Meyers-1905	Intervall [2]	fis
424	d2e1708640Meyers-1905	Iris [1]	I. Susiana
425	d2e1710417Meyers-1905	Irnerĭus	Fitting
426	d2e1710417Meyers-1905	Irnerĭus	Fitting
427	d2e1714843Meyers-1905	Islâm	Wâssil Ibn
428	d2e1714843Meyers-1905	Islâm	Hassan Bassrî
429	d2e1714843Meyers-1905	Islâm	Wâssil Ibn
430	d2e1714843Meyers-1905	Islâm	Hassan Bassrî
431	d2e1728255Meyers-1905	J, j	Mejico
432	d2e1728255Meyers-1905	J, j	collegj
433	d2e1728255Meyers-1905	J, j	I.C.
434	d2e1728728Meyers-1905	Jacaranda	J. procera
435	d2e1740548Meyers-1905	Japanische Sprache und Literatur	sto
436	d2e1743080Meyers-1905	Jātropha	schwarze Brechnuß, großer Purgiernußbaum
437	d2e1743080Meyers-1905	Jātropha	schwarze Brechnuß, großer Purgiernußbaum
438	d2e1744297Meyers-1905	Javanais	javeudavi
439	d2e1774831Meyers-1905	Juraformation	Terebratula numismalis
440	d2e1787990Meyers-1905	Kaiserkultus	Virtus, Clementia, Justitia, Pietas Augusta
441	d2e1790118Meyers-1905	Kakteen	Rhipsalis sarmentacea
442	d2e1790118Meyers-1905	Kakteen	Echinocactus Williamsii (Anhalonium Williamsii
443	d2e1792528Meyers-1905	Kalem	Dîwân kalemi
444	d2e1797988Meyers-1905	Kalkpflanzen	Hippocrepis comosa, Stachys recta, Teucrium Chamaedrys, T. montanum, Bupleurum falcatum, B. rotundifolium, Carlina acaulis, Adonis aestivalis
