	EntryID	Headword	term	lang	synonym
42	d2e81092Meyers-1905	Allerchristlichste Majestät		lat.	Rex christianissimus
43	d2e81204Meyers-1905	Allerheiligeninseln		franz.	Les Saintes
44	d2e81513Meyers-1905	Allgemeines Stimmrecht		franz.	Suffrage universel
45	d2e81696Meyers-1905	Alliánz		franz.	Alliance
46	d2e84688Meyers-1905	Almoraviden	n 	arab.	murabitîn
47	d2e84764Meyers-1905	Almosenier		franz.	Aumônier
48	d2e87361Meyers-1905	Alpenjäger		ital.	Cacciatori delle Alpi
49	d2e88603Meyers-1905	Alpīn	k 	franz.	alpinisme
50	d2e88906Meyers-1905	Alraun [1]		althochd.	alrûna
51	d2e88959Meyers-1905	Alsatĭa	Elsaß 	franz.	Alsace
52	d2e89550Meyers-1905	Alt [1]		engl.	aged
53	d2e99615Meyers-1905	Amboß [1]		althochd.	anabôz
54	d2e101575Meyers-1905	Amentazeen	Kätzchen 	lat.	amentum
55	d2e101609Meyers-1905	Amentīe		lat.	Amentia
56	d2e106876Meyers-1905	A moll		ital.	LA minore
57	d2e113589Meyers-1905	Analogīe	s 	lat.	Analogia fideï
58	d2e117560Meyers-1905	Anciennität		franz.	ancienneté
59	d2e118005Meyers-1905	Andalusien		span.	Andalucia
60	d2e122750Meyers-1905	Angang		altd.	aneganc
61	d2e122910Meyers-1905	Angebot		franz.	offre
62	d2e123122Meyers-1905	Angel [1]		altd.	angel, angul
63	d2e126099Meyers-1905	Angriff		franz.	Attaque
64	d2e126487Meyers-1905	Angulli		engl.	ungulee
65	d2e126560Meyers-1905	Angußfarbe		franz.	Engobe
66	d2e128026Meyers-1905	Animālisch	m Tier 	lat.	animal
67	d2e131317Meyers-1905	Annāten		lat.	annatae
68	d2e133496Meyers-1905	Anpassung		lat.	Adaptatio
69	d2e135602Meyers-1905	Anstand [1]		lat.	Decorum
70	d2e136737Meyers-1905	Anten		lat.	Antae
71	d2e138669Meyers-1905	Anthropopathismus	Affekte 	griech.	pathos
72	d2e143094Meyers-1905	Antiquar		lat.	Antiquarius
73	d2e143120Meyers-1905	Antiquariatsbuchhandel	r Hand 	franz.	livres d'occasion
74	d2e147103Meyers-1905	Apagōge	. — 2) 	lat.	Deductio
75	d2e147600Meyers-1905	Apennīn		ital.	Apennino
76	d2e147925Meyers-1905	Apetālen		lat.	Apetalae
77	d2e151715Meyers-1905	Apostasīe	t 	griech.	apostăta
78	d2e153225Meyers-1905	Appareille		franz.	appareil
79	d2e153373Meyers-1905	Appell		franz.	appel
80	d2e155259Meyers-1905	April		lat.	Aprīlis
81	d2e156152Meyers-1905	Aquädukt		lat.	aquaeductio, aquaeductus
82	d2e156331Meyers-1905	Aquarellmalerei		franz.	Peinture à l'aquarelle
83	d2e156918Meyers-1905	Aquavīt		lat.	aqua vitae
84	d2e157159Meyers-1905	Aquilēge		lat.	Aquilex
85	d2e157867Meyers-1905	Ar [1]	m>, 1) 	franz.	Are
86	d2e159930Meyers-1905	Arâf		arab.	a'râf
87	d2e163511Meyers-1905	Arbeitslohn	g 	frz.	marchandage
88	d2e168805Meyers-1905	Archīv		griech.	archeion
89	d2e171342Meyers-1905	Areopāg		griech.	Areios pagos
90	d2e172072Meyers-1905	Argēer		lat.	Argeï
91	d2e175055Meyers-1905	Arĭe		ital.	Aria
92	d2e176595Meyers-1905	Aristoteles	Geist 	griech.	nūs
93	d2e178640Meyers-1905	Armalist	Wappen 	lat.	arma
94	d2e182386Meyers-1905	Arno [2]		lat.	Arnus
95	d2e185330Meyers-1905	Arrieregarde		franz.	arrière-garde
96	d2e187659Meyers-1905	Art [1]		lat.	species
97	d2e190156Meyers-1905	Artischocke		ital.	articiocco
98	d2e190501Meyers-1905	Artur	Urbgen 	lat.	Urbigenus
99	d2e193892Meyers-1905	Aschersleben		lat.	Ascania
100	d2e194927Meyers-1905	Asen		altnord.	Aesir
101	d2e194927Meyers-1905	Asen	n 	altnord.	ásynjur
102	d2e200366Meyers-1905	Aspik		franz.	Gelée d'aspic
103	d2e201991Meyers-1905	Assiénto		span.	asiento
104	d2e202046Meyers-1905	Assignaten		franz.	Assignats
105	d2e207267Meyers-1905	Astwucherung		lat.	Polycladia
106	d2e208688Meyers-1905	Atem	vorbereitet 	engl.	fit
107	d2e216369Meyers-1905	Attacke		franz.	Attaque
108	d2e222639Meyers-1905	Aufkauf		franz.	Accaparement
109	d2e223217Meyers-1905	Aufmachung	ter A. 	franz.	Dé(sem)ballage
110	d2e223814Meyers-1905	Aufruhrakte		engl.	Riot Act
111	d2e224194Meyers-1905	Aufschrift		griech.	Epigraphe
112	d2e224194Meyers-1905	Aufschrift	Aufschriften 	franz.	souscriptions
113	d2e224337Meyers-1905	Auf Sicht		ital.	a vista
114	d2e225097Meyers-1905	Aufwendungen	n 	lat.	impensae
115	d2e228281Meyers-1905	August	s 	franz.	Auguste
116	d2e229751Meyers-1905	Aulĭker		ungar.	Aulikusok
117	d2e232701Meyers-1905	Ausfuhr	n 	franz.	primes d'exportation
118	d2e233061Meyers-1905	Ausgang		franz.	Sortie
119	d2e234292Meyers-1905	Ausläufer		lat.	Stolones
120	d2e234568Meyers-1905	Auslese [2]	e 	engl.	natural selection
121	d2e235210Meyers-1905	Auspizĭen		lat.	Auspicia
122	d2e236683Meyers-1905	Außenwerke		franz.	les Dehors
123	d2e237062Meyers-1905	Aussperrung		engl.	Lock-out
124	d2e241853Meyers-1905	Autochthōn	n 	lat.	Terrigenae
125	d2e241883Meyers-1905	Autodafé		portug.	auto da fé
126	d2e242049Meyers-1905	Autograph		griech.	autógraphon
127	d2e242887Meyers-1905	Autorität		lat.	Auctoritas
128	d2e249354Meyers-1905	Azoren		portug.	Açores
129	d2e249354Meyers-1905	Azoren	Habichten 	portug.	açor
130	d2e249896Meyers-1905	Azulējos	h blau 	arab.	azul
131	d2e249944Meyers-1905	Azūr		neulat.	azurum
132	d2e257077Meyers-1905	Bader [1]		lat.	Balneator
133	d2e262434Meyers-1905	Baiazzo		ital.	pagliaccio
134	d2e262612Meyers-1905	Bajonett		franz.	baïonnette
135	d2e263072Meyers-1905	Bakel [1]		lat.	Baculus
136	d2e265717Meyers-1905	Baldăchin		franz.	Baldaquin
137	d2e268206Meyers-1905	Ballenblume		engl.	Ball-flower
138	d2e268384Meyers-1905	Ballett		franz.	Ballet
139	d2e270860Meyers-1905	Baluster		franz.	balustre
140	d2e273089Meyers-1905	Bande [2]		franz.	Association de malfaiteurs
141	d2e273802Meyers-1905	Banditen		ital.	Banditi
142	d2e273924Meyers-1905	Bandmänner	Bande 	engl.	ribbon
143	d2e275775Meyers-1905	Banken	Notenbanken 	franz.	Banques d'émission
144	d2e277036Meyers-1905	Bankett		franz.	Banquet
145	d2e277198Meyers-1905	Bankier		franz.	Banquier
146	d2e279156Meyers-1905	Baptisterĭum		griech.	Baptisterion
147	d2e279190Meyers-1905	Bar [2]	Handel 	franz.	comptant
148	d2e279835Meyers-1905	Bär [4]		franz.	Batardeau
149	d2e280075Meyers-1905	Baracke		span.	barráca
150	d2e280607Meyers-1905	Baratterie		ital.	Baratteria
151	d2e280671Meyers-1905	Barattieren		ital.	barattare
152	d2e284480Meyers-1905	Barfüßer		lat.	Discalceati
153	d2e285221Meyers-1905	Barĭton		ital.	Baritono
154	d2e287154Meyers-1905	Barock		ital.	barocco
155	d2e287661Meyers-1905	Baronesse		franz.	baronne
156	d2e288490Meyers-1905	Barre [1]	; dann 	engl.	bar
157	d2e288650Meyers-1905	Barren [1]	Silbers 	engl.	bullion
158	d2e292372Meyers-1905	Bary...		griech.	barýs
159	d2e293773Meyers-1905	Basamént		ital.	Basamento
160	d2e294318Meyers-1905	Base [1]		althochd.	basa
161	d2e296641Meyers-1905	Baß		ital.	Basso
162	d2e297252Meyers-1905	Bassett		ital.	Bassetto
163	d2e297290Meyers-1905	Bassetthorn		ital.	Corno di bassetto
164	d2e297828Meyers-1905	Baßstimme		ital.	Basso
165	d2e298693Meyers-1905	Bastei [1]		lat.	bastio
166	d2e302280Meyers-1905	Battuālia	Treffen 	franz.	bataille
167	d2e302534Meyers-1905	Batzen		lat.	bacio, bacius, bacenus
168	d2e306579Meyers-1905	Bauingenieur		franz.	Ingénieur des ponts et chaussées
169	d2e310595Meyers-1905	Bausch		ital.	staglio
170	d2e314860Meyers-1905	B dur		ital.	Si
171	d2e315507Meyers-1905	Beāten		lat.	Beatae
172	d2e317553Meyers-1905	Bebung		franz.	Balancement
173	d2e318160Meyers-1905	Becherhülle		lat.	Cupula
174	d2e318666Meyers-1905	Becken [2]		lat.	Pelvis
175	d2e324289Meyers-1905	Beh	e Rueh 	engl.	rway
176	d2e325242Meyers-1905	Beichte		althochd.	pigihti, bigihti
177	d2e327080Meyers-1905	Beispiel		lat.	Exemplum
178	d2e327361Meyers-1905	Beiwerk		griech.	Parergon
179	d2e327809Meyers-1905	Bekehrung		lat.	Conversio
180	d2e333372Meyers-1905	Bellikös		lat.	bellicosus
181	d2e336009Meyers-1905	Benedeien		lat.	benedicĕre
182	d2e351619Meyers-1905	Berline	Mokierstuhl 	ital.	berlina
183	d2e352272Meyers-1905	Berlocken		franz.	Breloques
184	d2e352303Meyers-1905	Berme		franz.	Berme, Lisière
185	d2e353581Meyers-1905	Bernésk		ital.	bernesco
186	d2e357907Meyers-1905	Berufen	o 	griech.	baskania
187	d2e359688Meyers-1905	Beschälseuche	bekannt 	franz.	dourine
188	d2e360373Meyers-1905	Beschneidung		hebr.	Milah
189	d2e360373Meyers-1905	Beschneidung	Vorhaut 	hebr.	orlah
190	d2e361937Meyers-1905	Besprengung		lat.	Aspersio
191	d2e363243Meyers-1905	Bestĭe		lat.	Bestia
192	d2e364994Meyers-1905	Beton		franz.	béton
193	d2e367659Meyers-1905	Beute [1]		lat.	Praeda
194	d2e374393Meyers-1905	Bibel		griech.	Biblia
195	d2e374393Meyers-1905	Bibel	Schriften 	griech.	Hagiographa
196	d2e374975Meyers-1905	Biber [2]		engl.	Beavers
197	d2e382219Meyers-1905	Bihar [1]	Klöstern 	sanskr.	wihāra
198	d2e382771Meyers-1905	Bilanz		franz.	balance
199	d2e383244Meyers-1905	Bilderreime		lat.	Carmina figurata
200	d2e385509Meyers-1905	Bill [2]		neulat.	billa
201	d2e386079Meyers-1905	Billigkeit		lat.	Aequitas
202	d2e387171Meyers-1905	Bindegewebsgeschwulst		lat.	Fibroma
203	d2e388436Meyers-1905	Binokel		franz.	binocle
204	d2e389927Meyers-1905	Birēt		lat.	Birētum, Birretum
205	d2e389927Meyers-1905	Birēt	Käppchen 	lat.	pilius
206	d2e396523Meyers-1905	Bittermittel		lat.	Amara
207	d2e396995Meyers-1905	Biwak		franz.	Bivouac
208	d2e397132Meyers-1905	Bizarr		franz.	bizarre
209	d2e400316Meyers-1905	Blankett		franz.	Carte blanche
210	d2e400385Meyers-1905	Blanko		franz.	blanc
211	d2e400494Meyers-1905	Blankscheit		franz.	planchette
212	d2e401999Meyers-1905	Blasinstrumente		franz.	Instruments à vent
213	d2e405622Meyers-1905	Blaubart	r 	franz.	Raoul, chevalier Barbe-Bleue
214	d2e410835Meyers-1905	Blenden [2]	Metallbeckens 	ital.	bacino
215	d2e413603Meyers-1905	Blockade		franz.	Blocus
216	d2e416945Meyers-1905	Bluse		franz.	Blouse
217	d2e421210Meyers-1905	Blutschande		lat.	Incestus
218	d2e422158Meyers-1905	B moll		ital.	Si bemolle minore
219	d2e422500Meyers-1905	Bobbinet		engl.	bobbin-net
220	d2e429252Meyers-1905	Bogen [2]	t 	ital.	Arco
221	d2e432711Meyers-1905	Bohnen, springende		span.	Brincadores
222	d2e435013Meyers-1905	Bojār		russ.	bojárin
223	d2e435140Meyers-1905	Bojer	Bononia 	etrusk.	Felsina
224	d2e441751Meyers-1905	Bonifacio, Straße von		ital.	Bocca di B
225	d2e442393Meyers-1905	Bonkal		engl.	buncal
226	d2e450555Meyers-1905	Börse		franz.	Bourse
227	d2e452999Meyers-1905	Boskett		franz.	Bosquet
228	d2e455467Meyers-1905	Bote		lat.	nuntius
229	d2e455932Meyers-1905	Botoschani		rumän.	Botoşani
230	d2e461271Meyers-1905	Bowle		engl.	bowl
231	d2e464310Meyers-1905	Brack [2]		holländ.	braak
232	d2e466596Meyers-1905	Brakteāten		lat.	Nummi bracteati
233	d2e469118Meyers-1905	Brandopfer	h 	griech.	holokauston
234	d2e475956Meyers-1905	Brautlauf		isländ.	Brudlaup
235	d2e479276Meyers-1905	Breitgroschen		lat.	Grossus latus
236	d2e480082Meyers-1905	Bremen [4]	n 	lat.	Brema
237	d2e482800Meyers-1905	Brescia [2]		lat.	Brixia
238	d2e483864Meyers-1905	Bretonische Sprache	e 	franz.	bas breton
239	d2e487362Meyers-1905	Briganten [1]		franz.	Brigands
240	d2e490295Meyers-1905	Britannien	Hibernia 	kelt.	Vergyn
241	d2e490554Meyers-1905	Britisches Museum		engl.	British Museum
242	d2e491124Meyers-1905	Britschka		russ.	Britzska
243	d2e493226Meyers-1905	Brokāt [1]		ital.	broccato
244	d2e493275Meyers-1905	Brokatelle		ital.	broccatello
245	d2e493924Meyers-1905	Brómios	n Lärm 	griech.	bromos
246	d2e496369Meyers-1905	Brosche		franz.	Broche
247	d2e505553Meyers-1905	Brüsk		franz.	brusque
248	d2e513658Meyers-1905	Buchmacher		engl.	Bookmaker
249	d2e517580Meyers-1905	Büfett		franz.	buffet
250	d2e519926Meyers-1905	Bukanĭer		franz.	Boucaniers
251	d2e520148Meyers-1905	Bukett		franz.	bouquet
252	d2e521864Meyers-1905	Bulldogge		engl.	Bull-dog
253	d2e527788Meyers-1905	Bürgerlicher Tod		franz.	Mort civile
254	d2e528077Meyers-1905	Bürgerrecht		lat.	Civitas
255	d2e528211Meyers-1905	Bürgersprache		lat.	burgiloquium
256	d2e528392Meyers-1905	Burggraf		lat.	Burcgravius, Burgicomes, Praefectus urbis
257	d2e530234Meyers-1905	Burlésk	Spottgedicht 	ital.	versi burleschi
258	d2e533181Meyers-1905	Buschmann		engl.	Bushman
259	d2e534589Meyers-1905	Büste		ital.	Busto
260	d2e535149Meyers-1905	Butīke		franz.	Boutique
261	d2e549381Meyers-1905	Camaïeu	t sind 	franz.	en camaïeu
262	d2e549862Meyers-1905	Cambĭo [1]	t 	ital.	cambista
263	d2e560116Meyers-1905	Capricornkanal	Steinbockes 	engl.	capricorn
264	d2e568498Meyers-1905	Carta	a 	franz.	papier
265	d2e573279Meyers-1905	Casteldelfīno		franz.	Château-Dauphin
266	d2e573606Meyers-1905	Castelliēri		slaw.	Stari grad
267	d2e580447Meyers-1905	C dur		ital.	Do [Ut] maggiore
268	d2e583640Meyers-1905	Cent [2]		lat.	centena
269	d2e588468Meyers-1905	Ces		ital.	Do bemolle
270	d2e590190Meyers-1905	Ch		lat.	Ch, ch
271	d2e591690Meyers-1905	Chalcedonisches Glaubensbekenntnis		lat.	Symbolum Chalcedonense
272	d2e591836Meyers-1905	Chaldäa		griech.	Chaldaioi
273	d2e596139Meyers-1905	Chansonnette	Chansonnettensängerin 	franz.	chanteuse, chansonniere
274	d2e597212Meyers-1905	Charaban		franz.	char à banes
275	d2e598726Meyers-1905	Charlemagne	Großen 	lat.	Carolus Magnus
276	d2e603665Meyers-1905	Cheiat		engl.	Tikal
277	d2e609184Meyers-1905	Chevalerie	e 	lat.	milites clerici
278	d2e613195Meyers-1905	China [3]	Silbers 	engl.	sycee
279	d2e617903Meyers-1905	Chir...	rm>... 	griech.	cheir
280	d2e617923Meyers-1905	Chirăgon		griech.	cheiragon
281	d2e619469Meyers-1905	Chlor	Farbe 	griech.	chloros
282	d2e622678Meyers-1905	Chok		franz.	Choc
283	d2e622753Meyers-1905	Chokieren	t 	franz.	choquant
284	d2e623476Meyers-1905	Chômage-Versicherung		franz.	chômage
285	d2e626472Meyers-1905	Chr.		griech.	XP
286	d2e627424Meyers-1905	Christian [1]		lat.	Christianus
287	d2e629692Meyers-1905	Christusmonogramm	oder X 	griech.	chi
288	d2e634349Meyers-1905	Chthonisch		griech.	chthonios
289	d2e637540Meyers-1905	Cilĭen		lat.	Cilia
290	d2e638521Meyers-1905	Cinellen		ital.	cinelle
291	d2e640540Meyers-1905	Cis [2]		ital.	Do diesi
292	d2e650613Meyers-1905	Clüver		lat.	Cluverius
293	d2e650889Meyers-1905	C moll		ital.	Do minore
294	d2e654076Meyers-1905	Codille		span.	codillo
295	d2e661528Meyers-1905	Coma [1]		griech.	Koma
296	d2e670780Meyers-1905	Contánt		ital.	contante, contanti
297	d2e675436Meyers-1905	Cordel		lat.	chorda
298	d2e677709Meyers-1905	Corniche, La		ital.	Cornice
299	d2e683645Meyers-1905	Cottagesystem	Wohnung 	engl.	cottage
300	d2e691394Meyers-1905	Crest [1]		lat.	crista
301	d2e703001Meyers-1905	Cusīr		franz.	Soie à coudre
302	d2e705618Meyers-1905	Cymbal		lat.	cymbalum
303	d2e709437Meyers-1905	D [1]	y 	lat.	Doctor Divinitatis
304	d2e717087Meyers-1905	Damaszieren		franz.	damasquiner
305	d2e718196Meyers-1905	Dämmerung		lat.	Crepusculum
306	d2e719607Meyers-1905	Dämpfer [2]		ital.	Sordino
307	d2e731038Meyers-1905	Darlehen		lat.	Mutuum
308	d2e736100Meyers-1905	Dauerlaute		lat.	Continuae
309	d2e738005Meyers-1905	Davis-Quadrant		engl.	Back-staff
310	d2e738895Meyers-1905	D dur		ital.	Re maggiore
311	d2e739762Meyers-1905	Debit	n 	franz.	débiter
312	d2e740360Meyers-1905	Debüt		franz.	début
313	d2e742584Meyers-1905	Deckenmalerei	unten 	ital.	di sotto in su
314	d2e743323Meyers-1905	Deckung [1]		franz.	Couverture, Provision
315	d2e748395Meyers-1905	Deimos und Phobos		lat.	Pallor
316	d2e749101Meyers-1905	Deka [1]	r 	franz.	décastère
317	d2e749607Meyers-1905	Dekatieren		franz.	décatir
318	d2e750477Meyers-1905	Dekórt		franz.	Décourt, Déduction, Remise
319	d2e750592Meyers-1905	Dekret		lat.	Decretum
320	d2e752048Meyers-1905	Delegation [2]		ital.	Delegazione
321	d2e753437Meyers-1905	Deliziös		frz.	délicieux
322	d2e759146Meyers-1905	Denkmal		lat.	Monumentum
323	d2e759340Meyers-1905	Denkverse		lat.	Versus memoriales
324	d2e760830Meyers-1905	Depeschen		franz.	dépêches
325	d2e761528Meyers-1905	Depot		franz.	dépôt
326	d2e761784Meyers-1905	Deprekation		lat.	Deprecatio injuriae), »
327	d2e762831Meyers-1905	Derelikten		lat.	res derelictae
328	d2e764622Meyers-1905	Des		ital.	Re bemolle
329	d2e766281Meyers-1905	Deshonnett		franz.	déshonnête
330	d2e769739Meyers-1905	Detektive		engl.	detective
331	d2e771236Meyers-1905	Deutsch		got.	thiudisks
332	d2e771236Meyers-1905	Deutsch	lk« ab 	got.	thiuda
333	d2e777108Meyers-1905	Deutsche Sprache	n 	engl.	make
334	d2e785730Meyers-1905	Devīsen	werden 	engl.	badge
335	d2e787131Meyers-1905	Dezemvirn		lat.	Decemviri
336	d2e787301Meyers-1905	Dezi	r 	franz.	déciare
337	d2e787373Meyers-1905	Dezimāl	auf 10 	lat.	decem
338	d2e787612Meyers-1905	Dezision		lat.	Decisio
339	d2e787684Meyers-1905	Dezisīvstimme		lat.	Votum decisivum
340	d2e797312Meyers-1905	Dienstag	D. 	franz.	Mardi gras
341	d2e798912Meyers-1905	Diësis	s 	franz.	diese
342	d2e801735Meyers-1905	Digestīvmittel		lat.	Digestiva sc. remedia
343	d2e811076Meyers-1905	Dippen		engl.	to dip
344	d2e811715Meyers-1905	Direkte Rede		lat.	Oratio directa
345	d2e811922Meyers-1905	Diren		lat.	Dirae
346	d2e812099Meyers-1905	Dirimentĭen		lat.	dirimentia, sc. impedimenta matrimonii
347	d2e812362Meyers-1905	Dis [1]		franz.	Ré dièse
348	d2e813607Meyers-1905	Diskonvenieren	z 	franz.	Disconvenance
349	d2e813642Meyers-1905	Diskordánz		franz.	Discordance
350	d2e814000Meyers-1905	Diskúrs		franz.	Discours
351	d2e814549Meyers-1905	Dispéns		franz.	Dispense
352	d2e815350Meyers-1905	Dispūt		franz.	Dispute
353	d2e815902Meyers-1905	Dissimilation	o 	lat.	arbor
354	d2e819554Meyers-1905	Divulgieren	s Volk 	lat.	vulgus
355	d2e820411Meyers-1905	D moll		ital.	Re minore
356	d2e822442Meyers-1905	Docke [2]		schwed.	docka
357	d2e824543Meyers-1905	Doktor		lat.	Doctor
358	d2e824770Meyers-1905	Doktrīn		lat.	Doctrina
359	d2e824834Meyers-1905	Dol	. — D. 	lat.	Dola
360	d2e827008Meyers-1905	Dolōs		lat.	dolosus
361	d2e827129Meyers-1905	Dolzflöte		ital.	Flauto dolce
362	d2e828866Meyers-1905	Domitianische Frage		lat.	Domitiana quaestio
363	d2e831798Meyers-1905	Donkeyleute		engl.	donkey
364	d2e832358Meyers-1905	Donnerstag		engl.	Thursday
365	d2e832358Meyers-1905	Donnerstag	D. 	franz.	Jeudi gras
366	d2e833069Meyers-1905	Doppel-b		franz.	Double-bé mol
367	d2e834658Meyers-1905	Doppelschlag		ital.	Gruppetto
368	d2e838632Meyers-1905	Dortmund		lat.	Tremonia
369	d2e839262Meyers-1905	Dosso Dossi	Knochen 	ital.	osso
370	d2e842158Meyers-1905	Drache [3]		lat.	Draco
371	d2e843593Meyers-1905	Dragons		franz.	dragonnes
372	d2e845894Meyers-1905	Dramolett		franz.	Dramolet
373	d2e853334Meyers-1905	Drittelsilber		franz.	Alliage tiers-argent
374	d2e856612Meyers-1905	Drucktopf		franz.	Montejus
375	d2e862248Meyers-1905	Dublee		franz.	Doublé
376	d2e864982Meyers-1905	Duell		lat.	Duellum, Perduellio
377	d2e865080Meyers-1905	Duett		ital.	Duetto
378	d2e866143Meyers-1905	Duhn [2]		engl.	Doon
379	d2e867585Meyers-1905	Dult		althochd.	tuld
380	d2e868310Meyers-1905	Dumbbell-Nebel	Hantel 	engl.	dumbbell
381	d2e869571Meyers-1905	Dunciade		engl.	Dunciad
382	d2e871700Meyers-1905	Duns [1]		engl.	dunce
383	d2e872132Meyers-1905	Duodezimāl	auf 12 	lat.	duodecim
384	d2e874542Meyers-1905	Durchbrucharbeit		franz.	à jour
385	d2e876191Meyers-1905	Durendal	Wieland 	altfranz.	Guallant
386	d2e877414Meyers-1905	Durst		lat.	Sitis
387	d2e877704Meyers-1905	Dusche		franz.	douche
388	d2e878915Meyers-1905	Dux [1]	übergegangen 	franz.	duc
389	d2e883325Meyers-1905	Ebene [1]		griech.	epípedon
390	d2e883558Meyers-1905	Ebenholz		griech.	ebenos
391	d2e883861Meyers-1905	Eber [1]		althochd.	ebur
392	d2e885096Meyers-1905	Ebro		lat.	Ibērus
393	d2e889022Meyers-1905	Ecuadōr	Äquator 	span.	ecuador
394	d2e889367Meyers-1905	Ed [1]	term>- 	engl.	Ed
395	d2e889431Meyers-1905	Edda	Ermenrich 	altnord.	Jörmunrekr
396	d2e889866Meyers-1905	Edel		althochd.	edili
397	d2e891684Meyers-1905	Edinburg [1]	a 	griech.	Stratopedon pteroton
398	d2e892266Meyers-1905	Edler Rost		lat.	Aerugo nobilis
399	d2e892322Meyers-1905	Edmund		angels.	Eádmund
400	d2e892526Meyers-1905	Eduard [1]		engl.	Edward
401	d2e892780Meyers-1905	E dur		ital.	Mi maggiore
402	d2e893349Meyers-1905	Effékt		lat.	effectus
403	d2e893408Meyers-1905	Effekten		franz.	effets
404	d2e898484Meyers-1905	Ehrendame		franz.	Dame d'honneur
405	d2e900929Meyers-1905	Eichen [1]		lat.	Ovulum
406	d2e901987Meyers-1905	Eichstätt [2]	t 	lat.	Aureatum
407	d2e903569Meyers-1905	Eierschalenporzellan		engl.	Egg-shells
408	d2e907446Meyers-1905	Eingeweide		lat.	Intestina, Viscera
409	d2e908036Meyers-1905	Einhērĭer		altnord.	einherjar
410	d2e908036Meyers-1905	Einhērĭer	Wortes 	altnord.	einherjum
411	d2e908676Meyers-1905	Einklang		lat.	Unisonus
412	d2e909713Meyers-1905	Einpeitscher		engl.	Whip
413	d2e909792Meyers-1905	Einrede		lat.	Exceptio
414	d2e909890Meyers-1905	Einrenkung		lat.	Repositio
415	d2e911548Meyers-1905	Einsteuer		franz.	Impôt unique
416	d2e915226Meyers-1905	Eisenbahn		engl.	Railway, Railroad
417	d2e917353Meyers-1905	Eisenbahn-Clearinghaus		engl.	Railway-Clearing-House
418	d2e928482Meyers-1905	Ekarté		franz.	Écarté
419	d2e928933Meyers-1905	Ekklēsia	ort E. 	lat.	Ecclesia
420	d2e929096Meyers-1905	Eklat		franz.	éclat
421	d2e932378Meyers-1905	Eldorado [1]		span.	el dorado [sc. hombre]
422	d2e932461Meyers-1905	Elĕa		lat.	Velia
423	d2e945697Meyers-1905	Elfenbein		lat.	Ebur
424	d2e948392Meyers-1905	Elle [2]		schwed.	Aln
425	d2e952663Meyers-1905	Elze [1]		lat.	Aulica
426	d2e954870Meyers-1905	Emerald		franz.	Émeraude
427	d2e956370Meyers-1905	E moll		ital.	Mi minore
428	d2e960064Meyers-1905	Endlich		lat.	finītum
